iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.15,0,wheat,-213.62502504872802,-213.62502504872802,376.27497495127199,1.0750713570036343,350.0,239.9,0.28757111320570994,0.069880629929950464,0.10256410256410253,0.0,91.54674355029586
0.1,1,wheat,-269.79373979861288,-483.41876484734087,306.00658968567063,0.87430454195905893,350.0,240.0,0.44188693506412824,0.088428592517964755,0.10549615163650572,0.0,151.2468109802517
0.95,2,sprayed pasture,-207.57499999999999,-690.9937648473408,0.0,2.3656514649632214,230.0,0.0,0.44727933915389118,0.0,0.21144951167892623,59.141286624080536,94.37189815174894
0.05,3,wheat,-212.08901860994979,-903.08278345729059,224.34723446730789,0.64099209847802252,350.0,121.71742675183893,0.1,0.047546446522946331,0.10569483374781263,0.0,131.62407557940563
0.25,4,wheat,-89.541466719389192,-992.62425017667977,480.06656889448152,1.3716187682699472,350.0,240.0,0.22339415807189722,0.042473453294912741,0.1083064035902973,0.0,273.23265219230603
0.2,5,sprayed pasture,-177.96961562499996,-1170.5938658016798,0.0,1.5513511568573064,230.0,0.0,0.30235038108995155,0.0,0.22044791211159664,38.783778921432663,111.96562922018828
0.9,6,wheat,106.57700141310553,-1064.0168643885743,657.41703901140033,1.8783343971754296,350.0,162.43244215713469,0.1,0.043984788930850449,0.10693014873932527,0.0,387.50178357619546
0.35,7,wheat,-38.912177878642922,-1102.9290422672173,534.2788204263129,1.5265109155037513,350.0,240.0,0.23648718206360272,0.061612796476404892,0.12584065776213604,0.0,867.6053162032513
0.65,8,sprayed pasture,-152.58669919648432,-1255.5157414637015,0.0,2.2154730086221988,230.0,0.0,0.33250829208432942,0.0,0.2615089971259338,55.386825215554971,430.84306237426085
0.45,9,wheat,82.086683137869187,-1173.4290583258323,609.47110961354826,1.7413460274672807,350.0,129.22634956889004,0.1,0.043437700027999973,0.12874259091075435,0.0,1038.847726111996
0.9,0,wheat,39.802208677222978,39.802208677222978,629.70220867722298,1.7991491676492084,350.0,239.9,0.32492109162579141,0.088742629372479023,0.10256410256410253,0.0,173.8420674556213
0.6,1,wheat,16.463129970011096,56.265338647234074,607.32961049474852,1.7352274585564242,350.0,240.0,0.42306620734003869,0.11253138089206535,0.1112477253763533,0.0,473.2177241505578
0.05,2,sprayed pasture,-207.57499999999999,-151.30966135276591,0.0,0.78526671341074361,230.0,0.0,0.53946546352009861,0.0,0.2347638382313475,19.63166783526859,160.67883463201878
0.55,3,wheat,100.34357827386204,-50.966083078903878,667.77247511688029,1.9079213574768008,350.0,200.73666432946283,0.1,0.025211999263395575,0.1103327287410798,0.0,423.3613852391241
0.8,4,wheat,38.350136155594058,-12.615946923309821,637.08390654533844,1.8202397329866813,350.0,240.0,0.18294178887727394,0.050903262985758729,0.12824302882445482,0.0,1303.8009069373275
0.1,5,sprayed pasture,-177.96961562499996,-190.58556254830978,0.0,1.0395902956500669,230.0,0.0,0.36967975746456255,0.0,0.2889930985261139,25.989757391251672,466.1789004168972
0.35,6,wheat,5.2859596274286149,-185.29960292088117,545.21136801030548,1.5577467657437301,350.0,188.02048521749666,0.1,0.036621440290300532,0.13109429742513456,0.0,1038.048517229909
0.15,7,wheat,-165.63735205993865,-350.93695498081979,352.81182032456945,1.0080337723559127,350.0,240.0,0.2140651663606046,0.059895518973222331,0.1674625186571317,0.0,1778.1700506893549
0.25,8,sprayed pasture,-152.58669919648432,-503.52365417730414,0.0,1.4969534175081527,230.0,0.0,0.31626942717051876,0.0,0.3166506836886871,37.423835437703815,704.5594221821218
0.95,9,wheat,72.602992907393542,-430.92066126991062,630.34956975210491,1.8009987707202999,350.0,165.15232912459237,0.1,0.040698496160112264,0.14663346028747815,0.0,2509.096439729243
0.55,0,wheat,69.263622897735758,69.263622897735758,659.16362289773576,1.8833246368506738,350.0,239.9,0.25930300544629808,0.046108300815892601,0.10256410256410253,0.0,132.804544852071
0.1,1,wheat,-269.09230113283036,-199.8286782350946,306.74494617596804,0.87641413193133721,350.0,240.0,0.43319430744547205,0.083264426755908241,0.10838891127314298,0.0,218.7862628155682
0.85,2,sprayed pasture,-207.57499999999999,-407.40367823509462,0.0,2.3506286159847707,230.0,0.0,0.53699060109516639,0.0,0.21645712800507644,58.765715399619268,124.66028917111134
0.35,3,wheat,74.929100658094626,-332.47457757699999,559.86218419781017,1.5996062405651719,350.0,122.46856920076146,0.1,0.03654138660641159,0.10781936600606346,0.0,284.35083080016784
0.45,4,wheat,3.9108691940226925,-328.56370838297732,594.80152140517362,1.6994329183004961,350.0,240.0,0.25649794181005109,0.076936262921954476,0.11885576981449686,0.0,692.7609910884476
0.5,5,sprayed pasture,-177.96961562499996,-506.53332400797728,0.0,2.2503409509623431,230.0,0.0,0.34529487205993586,0.0,0.24988634967921897,56.258523774058574,325.62600951476054
0.95,6,wheat,125.96938700646614,-380.56393700151114,648.84844921904585,1.8538527120544168,350.0,127.48295245188285,0.1,0.040617256721622058,0.12166408082181945,0.0,1191.6533233165662
0.25,7,wheat,-102.52113640168108,-483.08507340319221,443.19252319022939,1.266264351972084,350.0,240.0,0.2306666086336798,0.042565906745085397,0.17671814340134784,0.0,2302.2007975413303
0.75,8,sprayed pasture,-152.58669919648432,-635.6717725996765,0.0,1.9655838124229361,230.0,0.0,0.27408245036421197,0.0,0.34480539585902126,49.139595310573405,1113.3388686376481
0.65,9,wheat,78.841263215332191,-556.83050938434428,616.81614782555209,1.7623318509301489,350.0,141.72080937885318,0.1,0.032507006310817516,0.17202508187017862,0.0,2934.8658558395337
0.95,0,wheat,45.261870462546398,45.261870462546398,635.1618704625464,1.8147482013215612,350.0,239.9,0.31796625415772767,0.080841820109858797,0.10256410256410253,0.0,186.740365443787
0.2,1,wheat,-172.08689646570767,-126.82502600316127,408.85589845714981,1.1681597098775709,350.0,240.0,0.35528848348131087,0.098444336503303906,0.11214248216573341,0.0,364.21459814788386
0.25,2,sprayed pasture,-207.57499999999999,-334.40002600316126,0.0,1.6932848114726007,230.0,0.0,0.39680699487964388,0.0,0.22702670323151175,42.332120286815019,153.68516815355574
0.85,3,wheat,132.43813538967703,-201.96189061348423,659.80508193947924,1.8851573769699408,350.0,155.33575942636998,0.1,0.037369326164993236,0.10984582135662557,0.0,503.72114142206067
0.15,4,wheat,-181.75093344808386,-383.71282406156809,366.8575336922413,1.0481643819778323,350.0,240.0,0.22223475710134255,0.060697990999728564,0.13357897715482303,0.0,893.8887728691484
0.7,5,sprayed pasture,-177.96961562499996,-561.68243968656805,0.0,2.2103246948079147,230.0,0.0,0.37088145721536664,0.0,0.26322510173069513,55.258117370197866,453.1715713424561
0.05,6,wheat,-191.79976779397271,-753.48220748054075,218.56432071111647,0.62446948774604705,350.0,129.48376525960427,0.1,0.045922358576143289,0.13023009845462885,0.0,617.2017307519982
